pl_name,disc_year,pl_orbper,pl_rade,pl_eqt,st_teff,st_rad,st_mass,sy_dist,disc_facility,disc_method
11 Com b,2007.0,324.62,2.41,805.0,4808.0,16.38,2.6,93.1846,Xinglong Station,Radial Velocity
11 UMi b,2009.0,516.219985,2.41,805.0,4276.5,26.935,1.8,125.321,Thueringer Landessternwarte Tautenburg,Radial Velocity
14 And b,2008.0,186.3,2.41,805.0,4850.5,11.275,1.78,75.4392,Okayama Astrophysical Observatory,Radial Velocity
14 Her b,2002.0,1766.41,2.41,805.0,5297.469999999999,0.995819,0.91,17.9323,W. M. Keck Observatory,Radial Velocity
16 Cyg B b,1996.0,799.475,2.41,805.0,5747.0,1.13,1.0,21.1397,Multiple Observatories,Radial Velocity
17 Sco b,2020.0,578.38,2.41,805.0,4157.0,25.92,1.22,124.953,Lick Observatory,Radial Velocity
18 Del b,2008.0,988.075,2.41,805.0,4979.5,8.65,2.1,76.222,Okayama Astrophysical Observatory,Radial Velocity
1RXS J160929.1-210524 b,2008.0,11.0966576025,18.647,1750.0,4060.0,1.33258,0.85,139.135,Gemini Observatory,Imaging
24 Boo b,2018.0,30.3403,2.41,805.0,4854.5,11.415,1.02,95.9863,Okayama Astrophysical Observatory,Radial Velocity
24 Sex b,2010.0,452.8,2.41,805.0,5098.0,4.9,1.54,72.0691,Lick Observatory,Radial Velocity
24 Sex c,2010.0,883.0,2.41,805.0,5098.0,4.9,1.54,72.0691,Lick Observatory,Radial Velocity
2M0437 b,2021.0,11.0966576025,2.41,1450.0,3100.0,0.84,0.17,128.484,Subaru Telescope,Imaging
2MASS J01033563-5515561 AB b,2013.0,11.0966576025,2.41,805.0,5551.0,0.955,0.19,377.822,Paranal Observatory,Imaging
2MASS J01225093-2439505 b,2013.0,11.0966576025,11.209,1600.0,3419.5,0.36645,0.3765925,33.8281,W. M. Keck Observatory,Imaging
2MASS J02192210-3925225 b,2015.0,11.0966576025,16.14096,805.0,3064.0,0.281,0.108,377.822,Cerro Tololo Inter-American Observatory,Imaging
2MASS J0249-0557 c,2018.0,11.0966576025,2.41,805.0,5551.0,0.955,0.046,66.0613,Mauna Kea Observatory,Imaging
2MASS J03590986+2009361 b,2024.0,11.0966576025,2.41,2369.0,5551.0,0.955,0.946,117.435,European Space Agency (ESA) Gaia Satellite,Imaging
2MASS J04414489+2301513 b,2010.0,11.0966576025,2.41,805.0,5551.0,0.955,0.019,377.822,Hubble Space Telescope,Imaging
2MASS J11011926-7732383 b,2024.0,11.0966576025,2.41,2677.0,5551.0,0.955,0.946,377.822,European Space Agency (ESA) Gaia Satellite,Imaging
2MASS J11550485-7919108 b,2024.0,11.0966576025,2.41,2506.0,5551.0,0.955,0.946,100.862,European Space Agency (ESA) Gaia Satellite,Imaging
2MASS J12073346-3932539 b,2004.0,11.0966576025,15.69257298,1163.0,2825.0,0.21887,0.1060005,64.308,Paranal Observatory,Imaging
2MASS J19383260+4603591 b,2015.0,411.0,2.41,805.0,29564.0,0.203,0.48,396.332,Kepler,Eclipse Timing Variations
2MASS J21252752-8138278 b,2024.0,11.0966576025,2.41,1616.0,5551.0,0.955,0.946,34.1154,European Space Agency (ESA) Gaia Satellite,Imaging
2MASS J22362452+4751425 b,2016.0,11.0966576025,2.41,805.0,4045.0,0.955,0.6,69.5737,W. M. Keck Observatory,Imaging
2MASS J22501512+2325342 b,2018.0,11.0966576025,2.41,1600.0,5551.0,0.955,0.946,57.2309,The 2 (Two) Micron All Sky Survey (2MASS),Imaging
4 UMa b,2006.0,269.78499999999997,2.41,805.0,4415.0,18.11,1.234,73.4603,Thueringer Landessternwarte Tautenburg,Radial Velocity
47 UMa b,1996.0,1077.3,2.41,805.0,5876.0,1.1749385,1.06,13.7967,Lick Observatory,Radial Velocity
47 UMa c,2001.0,2339.0,2.41,805.0,5872.0,1.1749385,1.032596,13.7967,Lick Observatory,Radial Velocity
47 UMa d,2009.0,16501.0,2.41,805.0,5850.58,1.1749385,1.032596,13.7967,Lick Observatory,Radial Velocity
51 Eri b,2015.0,11688.0,2.41,753.5,7295.0,1.48726,1.65,29.7575,Gemini Observatory,Imaging
51 Peg b,1995.0,4.230785,2.41,805.0,5760.76,1.186744,1.04,15.4614,Haute-Provence Observatory,Radial Velocity
55 Cnc B b,2025.0,6.7994,2.41,805.0,3286.0,0.274,0.26,12.4773,Mauna Kea Observatory,Radial Velocity
55 Cnc B c,2025.0,33.747,2.41,805.0,3286.0,0.274,0.26,12.4773,Mauna Kea Observatory,Radial Velocity
55 Cnc b,1996.0,14.651536,2.41,700.0,5250.0,0.963515,0.905,12.5855,Lick Observatory,Radial Velocity
55 Cnc c,2004.0,44.38135,2.41,805.0,5250.0,0.963515,0.905,12.5855,McDonald Observatory,Radial Velocity
